Aaiun, Western Sahara
Esperance, Australia
Es Sider, Libya
Eureka, California,
Faborg, Denmark
Famagusta, Cyprus
Fanning Island, North
Farsund, Norway
Falmouth, England
Fastnet Rock, Ireland*
Fateh Terminal, United
Fecamp, France
Felixstowe, England
Fernandina, Florida,
Figuera Da Foz, Portugal
Fleetwood, England
Flekkefjorden, Norway
Fishguard, Wales
Fiumicino, Italy
Flensburg, Germany
Terminal, Nigeria
Flushing, Netherlands
Florida, U.S.A.
Fort-Liberate, Haiti
Fortaleza, Brazil
Fredericia, Denmark
Frederiksted, St. Croix
Fredrikstad, Norway
Freetown, Sierra Leone
Fremantle, Australia
Fujayrah, United Arab
Funafuti, Tuvalu
Funchal, Madeira
Fuzhou, China
Galeota Point, Trinidad
Galway, Ireland
Gdansk, Poland
Gela, Italy
Galle, Sri Lanka
Gallipoli, Italy
Galveston, Texas, U.S.A.
Gdynia, Poland
Gebe Island, Indonesia
Gemlick, Turkey
Genova, Italy
Georgetown, Guyana
Geraldton, Australia
Ghazaouet, Algeria
Gibara, Cuba
Gijon, Spain
Gladstone Harbor, Australia
Gonaives, Haiti
Goose Bay, Canada
Golfito, Costa Rica
Grena, Denmark
Grimstad, Norway
Goteborg, Sweden
Granville, France
Guanta, Venezuela
Guantanamo, Cuba
Guayaquil, Ecuador
Guaymas, Mexico
Guiria, Venezuela
Gulfport, Mississippi,
Gunsan, South Korea
Hachinohe, Japan
Haderslev, Denmark
Haifa, Israel
Haines, Alaska, U.S.A.
Haiphong, Vietnam
Hakata, Japan
Hakodate, Japan
Hakonsvern, Norway
Haldia, India
Halifax, Canada
Halmstad, Sweden
Hamburg, Germany
Hamilton, Bermuda
Hamina, Finland
Halul Island, Qatar
Hammerfest, Norway
Hankou, China
Harstad, Norway
Hartlepool, England
Virginia, U.S.A.
Hango, Finland
Helsingborg, Sweden
Higashi-Iwase, Japan
Hilo, Hawaii, U.S.A.
Helsinki, Finland
Heysham, England
Hiroshima, Japan
Hirtshals, Denmark
Ho Chi Minh, Vietnam
Hobart, Tasmania
Holyhead, Wales
Honawar, India
Hong Kong, China
Honiara, Solomon
Honolulu, Hawaii, U.S.A.
Honshu, Japan*
Horsens, Denmark
Hososima Ko, Japan
Horta, Fayal, Azores
Hua-Lien Kang, Taiwan
Huelva, Spain
Hull, England
Hungnam, North Korea
Husnes, Norway
Hvalfjordhur, Iceland
Hyeres, France
Ijmuiden, Netherlands
Ilo, Peru
Iloilo, Panay,
Iligan, Philippines
Imabari, Japan
Incheon, South Korea
Inishtrahull, Ireland
Inishtrahull, Ireland*
Inverness, Scotland
Iquique, Chile
Iraklion, Kriti
Isabel De Sagua, Cuba
Vieques, Puerto Rico
Iskenderun, Turkey
Isla De Pascua, South
Istanbul, Turkey
Itozakicho, Japan
Ivittuut, Greenland
Iwakuni, Japan
Izmir, Turkey
Jacksonville, Florida,
Jakarta, Indonesia
Jakobshavn, Greenland
Jakobstad, Finland
Jaluit, Marshall
Jazireh-Ye Sirri, Iran
Johnston Island, North
Jolo, Philippines
Juneau, Alaska, U.S.A.
Kagoshima, Japan
Jucaro, Cuba
Jersey City, New Jersey,
Kakinada, India
Kalamai, Greece
Kali Limenes, Kriti,
Kalundborg, Denmark
Kamaishi, Japan
Kamsar, Guinea
Kaneohe Bay, Hawaii,
Karachi, Pakistan
Karlshamn, Sweden
Karlskrona, Sweden
Kashima Ko, Japan
Kaunakakai, Hawaii, U.S.A.
Kenitra, Morocco
Kaunakakai, Hawaii,
Kavala, Greece
Keflavik, Iceland
Key West, Florida, U.S.A.
Khalkis, Greece
Kharg Island, Iran
Kholmsk, Sakhalin,
Kimchaek, North Korea
Kin Wan, Japan
Kingston, Jamaica
Kismaayo, Somalia
Kingstown, St. Vincent
Kirkenes, Norway
Kiska, Alaska, U.S.A.
Klaipeda, Lithuania
Klaksvig, Faroe
Kobe, Japan
Kobenhavn, Denmark
Kochi, Japan
Kolding, Denmark
Koge, Denmark
Kokkola, Finland
Kokura, Japan
Kole, Cameroon
Komatsushima, Japan
Koniya, Ryukyu Islands
Koper, Slovenia
Korsakov, Sakhalin,
Kotka, Finland
Kristiansand, Norway
Kunsan, Japan
Kpeme, Togo
Kwa Ibo, Nigeria
Kushiro, Japan
Korsor, Denmark
Kragero, Norway
Kyndby, Denmark
Kralendijk, Bonaire
Kribi, Cameroon
Kung Thep, Thailand
Kuching, Sarawak
La Ceiba, Honduras
La Guaira, Venezuela
La Habana, Cuba
La Nouvelle, France
La Pallice, France
La Plata, Argentina
La Salina, Venezuela
La Spezia, Italy
La Union, El Salvador
Lagos, Nigeria
Louisiana, U.S.A.
Larnaca, Cyprus
Larne, England
Las Piedras, Venezuela
Launceston, Tasmania
Larvik, Norway
Las Palmas, Canary
Lavan Island, Iran
Lazaro Cardenas, Mexico
Le Havre, France
Le Verdon, France
Leith, Scotland
Leixoes, Portugal
Lerwick, Scotland
Licata, Sicily, Italy
Lillesand, Norway
Lianyungang, China
Limassol, Cyprus
Limerick, Ireland
Limetree Bay, St. Croix,
Limhamn, Sweden
Limon, Costa Rica
Lingkas, Kalimantan,
Lisboa, Portugal
Liverpool, Canada
Liverpool, England
Livorno, Italy
Lobito, Angola
Lome, Togo
London, England
Longji, Cameroon
Mexico, U.S.A.
Lorient, France
California, U.S.A.
Lota, Chile
Lowestoft, England
Luanda, Angola
Lubeck, Germany
Lucinda, Australia
Lysekil, Sweden
Mackay, Australia
Mahon, Balearic
Maizuru, Japan
Majunga, Madagascar
Lyttelton, New
Maceio, Brazil
Magadan, Russia
Makassar, Sulawesi
Mahe, Seychelles
Malabo, Equatorial Guinea
Malabo, Equatorial
Malacca, Malaysia
Maldogado, Uruguay
Malakal, Palau Islands
Malmo, Sweden
Mandal, Norway
Manfredonia, Italy
Maniitsoq, Greenland
Manzanillo, Cuba
Maracaibo, Venezuela
Manzanillo, Mexico
Maputo, Mozambique
Pennsylvania, U.S.A.
Mariel, Cuba
Marin, Ponte Vedra Bay,
Marmagao, India
Marsaxlokk, Malta
Marseille, France
Masan, South Korea
Masbate, Philippines
Masnedsund, Denmark
Massawa, Ethiopia
Mayaquez, Puerto Rico
Mazatlan, Mexico
Matadi, Congo
Matagorda Bay, Texas,
Mathew Town, Great
Matruh, Egypt
Megara, Greece
Melbourne, Australia
Melilla, Morocco
Menton, France
Mersa Al Hamra, Egypt
Mersin, Turkey
Messina, Sicily, Italy
Mers El Kebir, Algeria
Methil, Scotland
Miami, Florida, U.S.A.
Middlefart, Denmark
Miike, Japan
Milazzo, Sicily, Italy
Mina Al Ahmadi, Kuwait
Milford Haven, Wales
Milner Bay, Australia
Mina Abd Allah, Kuwait
Mina Raysut, Oman
Miragoane, Haiti
Misumi, Japan
Mina Saqr, United Arab
Mina Saud, Kuwait
Moa, Cuba
Mobile, Alabama, U.S.A.
Mocamedes, Angola
Mogadishu, Somalia
Mogpo, South Korea
Mohammedia, Morocco
Moi Rana, Norway
Moji, Japan
Monaco, Monaco
Monopoli, Italy
Mombasa, Kenya
Monrovia, Liberia
Montego Bay, Jamaica
Montevideo, Uruguay
Montreal, Canada*
Montrose, Scotland
Mosjoen, Norway
Mosselbaai, South
Mostaganem, Algeria
Mtwara, Tanzania
Muroran, Japan
Murmansk, Russia
Mutrah, Oman
Naestved, Denmark
Nagasaki, Japan
Nagoya, Japan
Naha, Okinawa Jima,
Najkin, North Korea
Naknek, Alaska, U.S.A.
Nakskov, Denmark
Nampo, North Korea
Nanaimo, Canada
Napoli, Italy
Nanao, Japan
Nanortalik, Greenland
Napieir, New Zealand
Narvik, Norway
Nasipit, Philippines
Nassau, Bahama Islands
Navarino Bay, Greece
Navplion, Greece
Nelson, New Zealand
Natal, Brazil
New Mangalore, India
New Plymouth, New
New York, New York,
Newark, New Jersey, U.S.A.
Newcastle, Australia
Newport, Wales
Newcastle, England
Nha Trang Bay, Vietnam
Nice, France
Niigata, Japan
Nome, Alaska, U.S.A.
Nikiski, Alaska, U.S.A.
Norfolk, Virginia, U.S.A.
Norrkoping, Sweden
Noumea, New Caledonia
Novorossiysk, Russia
Nuevitas, Cuba
Nukualofa, Tonga
Ocean Island, Pacific
Odense, Denmark
Odessa, Ukraine
Oita, Japan
Okha, India
Olbia, Sardinia
Olongapo, Philippines
Oostende, Belgium
Oporto, Portugal
Opua, New Zealand
Oran, Algeria
Oranjestad, Aruba
Oranjestad, St.
Ornskoldsvik, Sweden
Osaka, Japan
Oslo, Norway
Otaru, Japan
Oulu, Finland
Oxelosund, Sweden
Pago Pago, American
Palembang, Indonesia
Palermo, Sicily, Italy
Palm Beach, Florida,
Palma, Balearic Islands
Palma, Balearic
Panama, Panama*
Papeete, Tahiti, French
Paradip, India
Paramaribo, Suriname
Paranam, Suriname
Parrsboro, Canada
Pascagoula, Mississippi,
Pechenga, Russia
Penarth, Wales
Patrai, Greece
Pei-Hai, China
Penang, Malaysia
Pensacola, Florida,
Pepel, Sierra Leone
Petersburg, Alaska,
Petropavlovskkamchatskiy, Russia
Pevek, Russia
Phuket, Thailand
Pimentel, Peru
Pina, Panama
Piraievs, Greece
Pisagua, Chile
Pitea, Sweden
Ploce, Croatia
Pointe Noire, Congo
Plymouth, England
Plymouth, Montserrat
Ponape, Caroline
Ponce, Puerto Rico
Poole, England
Port Alice, Canada
Porkkala, Finland
Porlamar, Margarita,
Port Antonio, Jamaica
Port Arthur, Texas,
Port Au Prince, Haiti
Port Blair, Andaman
Port Castries, St. Lucia
Port Chalmers, New
Port Darwin, Australia
Port Des Galets, Reunion Island
Port Kelang, Malaysia
Port Kembla, Australia
Port Lavaca, Texas,
Port Kamsar, Guinea
Port Gentil, Gabon
Port Harcourt, Nigeria
Port Moresby, Papua
Port Louis, Mauritius
Port Of Spain, Trinidad
Port Pirie, Australia
Port Refuge, Cocos
Port Said, Egypt*
Port St. Louis Du Rhone, France
Port Sudan, Sudan
Port-Vendres, France
Portland, Australia
Port Talbot, Wales
Portland, England
Portland, Oregon, U.S.A.
Portland, Maine, U.S.A.
Porto Alegre, Brazil
Sicily, Italy
Portovesme, Italy
Vicente, Cape Verde
Portsmouth, England
Porvoo, Finland
Hampshire, U.S.A.
Poti, Georgia
Terceira, Azores
Preveza, Greece
Prince Rupert, Canada
Progreso, Mexico
Provideniya, Russia
Island, U.S.A.
Puerto De Pasajes, Spain
Puerto Manati, Cuba
Puerto Montt, Chile
Puerto Padre, Cuba
Puerto Vita, Cuba
Pula, Croatia
Punta Arenas, Chile*
Punta Cardon, Venezuela
Pusan, South Korea
Qabis, Tunisia
Puntarenas, Costa Rica
Qingdao, China
Qinhuangdao, China
Qua Iboe, Nigeria
Quepos, Costa Rica
Quequen, Argentina
Qui Nhon, Vietnam
Quinfuguena, Angola
Rabaul, Papua New
Rabigh, Saudi Arabia
Rangoon, Burma
Randers, Denmark
Rapid Bay, Australia
Ras Al Mishab, Saudi Arabia
Ras Al Unuf, Libya
Rauma, Finland
Ravenna, Italy
Recife, Brazil
Rethimnon, Kriti
Reykjavik, Iceland
Rhodes, Greece
Ribadeo, Spain
Richards Bay, South
Riga, Latvia
Rijeka, Croatia
Rio De Janeiro, Brazil
Rio Grande, Brazil
Rio Haina, Dominican
Risor, Norway
Romana, Dominican Republic
Romana, Dominican
Ronne, Bornholm,
Rosyth, Scotland
Rota, Spain
Safi, Morocco
Roseau, Dominica
Rostock, Germany
Saipan, Mariana Islands
Sabang, Indonesia
Sakaide, Japan
Sakata, Japan
Salamis, Greece
Salerno, Italy
Salaverry, Peru
Salawati, Indonesia
Saldanha Bay, South
Salina Cruz, Mexico
Salvador, Brazil
San Antonio, Chile
San Ciprian, Spain
San Diego, California,
San Felix, Venezuela
San Jose, Guatemala
San Juan, Peru
San Juan, Puerto Rico
San Lorenzo, Honduras
Sandakan, Sabah
Sandefjorden, Norway
San Nicolas, Peru
San Pedro, Ivory Coast
San Sebastian, Spain
San Vicente, Chile
Sanmen Wen, China
Santa Barbara, California, U.S.A.
Santa Lucia, Cuba
Santana, Brazil
Santa Marta, Colombia
Santiago De Cuba, Cuba
Santander, Spain
Castilla, Guatemala
Savannah, Georgia, U.S.A.
Sanya Gang, China
Sao Tome, Sao Tome,
Sarande, Albania
Sasebo, Japan
Savona, Italy
Sayda, Lebanon
Islands, United Kingdom
Searsport, Maine, U.S.A.
Seattle, Washington,
Selat Sunda, Indonesia*
Selat Wetar, Indonesia*
Sekondi, Ghana
Semarang, Indonesia
Sept Iles, Canada
Sete, France
Setubal, Portugal
Sevilla, Spain
Seward, Alaska, U.S.A.
Sfax, Tunisia
Shanghai, China
Sharjah, United Arab
Shelburne, Canada
Shengjin, Albania
Shimizu, Honshu, Japan
Shimonoseki, Japan
Shimotsui, Japan
Shiogama, Japan
Sibenik, Croatia
Sibu, Malaysia
Sines, Portugal
Siracusa, Sicily, Italy
Sisimiut, Greenland
Sitka, Alaska, U.S.A.
Sittwe Harbor, Burma
Skagway, Alaska, U.S.A.
Skaramangas, Greece
Skien, Norway
Skikid, Algeria
Skredsvik, Sweden
Slagen, Norway
Sonderborg, Denmark
Sochi, Russia
Sousse, Tunisia
Sorong, Indonesia
Soudha, Kriti
Sorvagur, Faroe
Southampton, England
Sriracha, Thailand
St. Georges, Grenada
St. Helena Island, South
St. John, Canada
St. Malo, France
St. Marc, Haiti
St. Nazaire, France
St. Pierre, Martinique
St. Raphael, France
Stadersand, Germany
Stenungsund, Sweden
Stephenville, Canada
Stockholm, Sweden
Sundsvall, Sweden
Stralsund, Germany
Su-Ao Kang, Taiwan
Suakin, Sudan
Sunderland, England
Supe Bay, Peru
Svendborg, Denmark
Suva, Fiji Islands
Swansea, Wales
Sweeper Cove, Alaska,
Swinoujscie, Poland
Sydney, Australia
Sydney, Canada
Szczecin, Poland
Tacloban, Philippines
Takoradi, Ghana
Tallinn, Estonia
Tamatave, Madagascar
Talcahuano, Chile
Tampa, Florida, U.S.A.
Tampico, Mexico
Tanga, Tanzania
Tangier, Morocco
Tarabulus, Lebanon
Taranto, Italy
Tarawa Atoll, Kiribati
Tarabulus, Libya
Tarbert Island, Ireland
Tarragona, Spain
Tatibana Ko, Japan
Tees River, England
Thames Haven, England
Tauranga, New Zealand
Tawau, Malaysia
Telukbayur, Indonesia
Tema, Ghana
Tianjin, China
Tokuyama, Japan
Tomakomai, Japan
Tornio, Finland
Tiksi, Russia
Tjilatjap, Indonesia
Tomari, Japan
York, U.S.A.
Tongyeong, South
Torshavn, Faroe
Toulon, France
Townsville, Australia
Tramandai, Brazil
Trangisvaag, Faroe
Trapani, Sicily
Travemunde, Germany
Trelleborg, Sweden
Trenton, New Jersey,
Trieste, Italy
Tromso, Norway
Trondheim, Norway
Tsuruga, Japan
Tso-Ying, Taiwan
Tumaco, Colombia
Tunis, Tunisia
Tsingtao, China
Tsugaru-Kaikyo, Japan*
Turiamo, Venezuela
Turku, Finland
Tuticorin, India
Tuxpan, Mexico
Ube, Japan
Uno, Japan
Tvedestrand, Norway
Ulsan, South Korea
Umea, Sweden
Valdez, Alaska, U.S.A.
Urangan, Australia
Umm Said, Qatar
Ushuaia, Argentina
Uskudar, Turkey
Unggi, North Korea
Upernavik, Greenland
Uusikaupunki, Finland
Vaasa, Finland
Valencia, Spain
Valletta, Malta
Vancouver, Canada
Varberg, Sweden
Vardo, Norway
Varna, Bulgaria
Vejle, Denmark
Venezia, Italy
Victoria, Sabah
Veracruz, Mexico
Victoria, Seychelles
Viareggio, Italy
Victoria, Canada
Villagarcia, Spain
Vladivostok, Russia
Vinh Cam Ranh, Vietnam
Vishakhapatnam, India
Vitoria, Brazil
Vlores, Albania
Volos, Greece
Vysotsk, Russia
Wadi Feiran, Egypt
Wakamatsu, Japan
Wallaroo, Australia
Wake Island, Pacific
Walvisbaai, Namibia
Wanganui, New Zealand
Warrenpoint, Northern
Of Columbia, U.S.A.
Waterford, Ireland
Weihai, China
Wellington, New
Wenzhou, China
Whangarei, New
Terminal, Ireland
Whitehaven, England
Whittier, Alaska, U.S.A.
Whyalla, Australia
Willemstad, Curacao
Wismar, Germany
Wotho, Marshall
Wotje Island, Marshall
Wrangell, Alaska, U.S.A.
Wyndham, Australia
Xiamen, China
Yabucoa, Puerto Rico
Yalta, Russia
Yantai, China
Yampi Sound, Australia
Yanbu Al Bahr, Saudi
Yap, Caroline Islands
Yarmouth, Canada
Yarmouth, England
Yeosu, South Korea
Yokkaichi, Japan
Yokohama, Japan
Yosu, South Korea
Zadar, Croatia
Zanzibar, Tanzania
Zamboanga, Philippines
Zeebrugge, Belgium
Zhenjiang, China
Zueitina, Libya
